onset	duration	sample	value	response_type	congruence	response_time	response_out_of_range	largeletter	smallletter
469.3085938	n/a	120143	responseSmallH	correct	n/a	0.58203	no	n/a	n/a
470.3789062	n/a	120417	largeHSmallT	correct	incongruent	0.53906	no	H	T
470.9179688	n/a	120555	responseSmallT	correct	n/a	0.53906	no	n/a	n/a
471.9921875	n/a	120830	largeTSmallH	correct	incongruent	0.55469	no	T	H
472.546875	n/a	120972	responseSmallH	correct	n/a	0.55469	no	n/a	n/a
473.6054688	n/a	121243	largeTSmallH	correct	incongruent	0.63672	no	T	H
474.2421875	n/a	121406	responseSmallH	correct	n/a	0.63672	no	n/a	n/a
475.3125	n/a	121680	largeTSmallT	correct	congruent	0.53125	no	T	T
475.84375	n/a	121816	responseSmallT	correct	n/a	0.53125	no	n/a	n/a
476.8984375	n/a	122086	largeHSmallT	correct	incongruent	0.58203	no	H	T
477.4804688	n/a	122235	responseSmallT	correct	n/a	0.58203	no	n/a	n/a
478.5390625	n/a	122506	largeHSmallT	correct	incongruent	0.53516	no	H	T
479.0742188	n/a	122643	responseSmallT	correct	n/a	0.53516	no	n/a	n/a
480.1523438	n/a	122919	largeTSmallH	correct	incongruent	0.52734	no	T	H
480.6796875	n/a	123054	responseSmallH	correct	n/a	0.52734	no	n/a	n/a
481.7382812	n/a	123325	largeHSmallT	correct	incongruent	0.57422	no	H	T
482.3125	n/a	123472	responseSmallT	correct	n/a	0.57422	no	n/a	n/a
483.3789062	n/a	123745	largeHSmallH	correct	congruent	0.48828	no	H	H
483.8671875	n/a	123870	responseSmallH	correct	n/a	0.48828	no	n/a	n/a
484.9414062	n/a	124145	largeTSmallH	correct	incongruent	0.48438	no	T	H
485.4257812	n/a	124269	responseSmallH	correct	n/a	0.48438	no	n/a	n/a
486.5	n/a	124544	largeHSmallT	correct	incongruent	0.57031	no	H	T
487.0703125	n/a	124690	responseSmallT	correct	n/a	0.57031	no	n/a	n/a
488.140625	n/a	124964	largeTSmallT	correct	congruent	0.53516	no	T	T
488.6757812	n/a	125101	responseSmallT	correct	n/a	0.53516	no	n/a	n/a
489.7382812	n/a	125373	largeTSmallT	correct	congruent	0.48438	no	T	T
490.2226562	n/a	125497	responseSmallT	correct	n/a	0.48438	no	n/a	n/a
491.2851562	n/a	125769	largeTSmallH	correct	incongruent	0.49219	no	T	H
491.7773438	n/a	125895	responseSmallH	correct	n/a	0.49219	no	n/a	n/a
492.8476562	n/a	126169	largeTSmallH	correct	incongruent	0.64453	no	T	H
493.4921875	n/a	126334	responseSmallH	correct	n/a	0.64453	no	n/a	n/a
494.5664062	n/a	126609	largeHSmallT	error	incongruent	0.63672	no	H	T
495.203125	n/a	126772	responseSmallH	error	n/a	0.63672	no	n/a	n/a
496.2851562	n/a	127049	largeHSmallH	correct	congruent	0.58594	no	H	H
496.8710938	n/a	127199	responseSmallH	correct	n/a	0.58594	no	n/a	n/a
497.9257812	n/a	127469	largeHSmallH	correct	congruent	0.51562	no	H	H
498.4414062	n/a	127601	responseSmallH	correct	n/a	0.51562	no	n/a	n/a
499.5117188	n/a	127875	largeTSmallH	correct	incongruent	0.52344	no	T	H
500.0351562	n/a	128009	responseSmallH	correct	n/a	0.52344	no	n/a	n/a
501.0976562	n/a	128281	largeTSmallH	correct	incongruent	0.48047	no	T	H
501.578125	n/a	128404	responseSmallH	correct	n/a	0.48047	no	n/a	n/a
502.6445312	n/a	128677	largeTSmallT	correct	congruent	0.60547	no	T	T
503.25	n/a	128832	responseSmallT	correct	n/a	0.60547	no	n/a	n/a
504.3125	n/a	129104	largeHSmallT	error	incongruent	0.62891	no	H	T
504.9414062	n/a	129265	responseSmallH	error	n/a	0.62891	no	n/a	n/a
506.0195312	n/a	129541	largeHSmallH	correct	congruent	0.70703	no	H	H
506.7265625	n/a	129722	responseSmallH	correct	n/a	0.70703	no	n/a	n/a
507.7929688	n/a	129995	largeHSmallT	correct	incongruent	0.52734	no	H	T
508.3203125	n/a	130130	responseSmallT	correct	n/a	0.52734	no	n/a	n/a
509.3789062	n/a	130401	largeHSmallT	correct	incongruent	0.50391	no	H	T
509.8828125	n/a	130530	responseSmallT	correct	n/a	0.50391	no	n/a	n/a
510.9375	n/a	130800	largeTSmallT	correct	congruent	0.55859	no	T	T
511.4960938	n/a	130943	responseSmallT	correct	n/a	0.55859	no	n/a	n/a
512.5664062	n/a	131217	largeTSmallH	correct	incongruent	0.51562	no	T	H
513.0820312	n/a	131349	responseSmallH	correct	n/a	0.51562	no	n/a	n/a
514.140625	n/a	131620	largeHSmallH	correct	congruent	0.57031	no	H	H
514.7109375	n/a	131766	responseSmallH	correct	n/a	0.57031	no	n/a	n/a
515.7773438	n/a	132039	largeHSmallH	correct	congruent	0.55859	no	H	H
516.3359375	n/a	132182	responseSmallH	correct	n/a	0.55859	no	n/a	n/a
517.40625	n/a	132456	largeHSmallH	correct	congruent	0.51172	no	H	H
517.9179688	n/a	132587	responseSmallH	correct	n/a	0.51172	no	n/a	n/a
518.9804688	n/a	132859	largeTSmallH	correct	incongruent	0.55859	no	T	H
519.5390625	n/a	133002	responseSmallH	correct	n/a	0.55859	no	n/a	n/a
520.6054688	n/a	133275	largeHSmallH	correct	congruent	0.61328	no	H	H
521.21875	n/a	133432	responseSmallH	correct	n/a	0.61328	no	n/a	n/a
522.2851562	n/a	133705	largeTSmallT	correct	congruent	0.50781	no	T	T
522.7929688	n/a	133835	responseSmallT	correct	n/a	0.50781	no	n/a	n/a
523.859375	n/a	134108	largeTSmallT	correct	congruent	0.53516	no	T	T
524.3945312	n/a	134245	responseSmallT	correct	n/a	0.53516	no	n/a	n/a
525.4726562	n/a	134521	largeTSmallT	correct	congruent	0.48828	no	T	T
525.9609375	n/a	134646	responseSmallT	correct	n/a	0.48828	no	n/a	n/a
527.03125	n/a	134920	largeTSmallH	correct	incongruent	0.54688	no	T	H
527.578125	n/a	135060	responseSmallH	correct	n/a	0.54688	no	n/a	n/a
528.6445312	n/a	135333	largeTSmallH	correct	incongruent	0.44141	no	T	H
529.0859375	n/a	135446	responseSmallH	correct	n/a	0.44141	no	n/a	n/a
530.1523438	n/a	135719	largeHSmallT	correct	incongruent	0.67969	no	H	T
530.8320312	n/a	135893	responseSmallT	correct	n/a	0.67969	no	n/a	n/a
